"Alloys","Phase","Tg","Tx","Tl","Rc_mm/s","Dmax_mm"
"Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7","CMA",801,843,1263,"NAN","NAN"
"Al16.7Cr20.8Cu20.8Fe20.8Ni20.8","CMA",797,830,1250,"NAN","NAN"
"Al17.5Co25.0Fe25.0Ni25.0Cr7.5","CMA",808,862,1280,"NAN","NAN"
"Al18.2Co18.2Cr18.2Cu9.1Fe18.2Ni18.2","CMA",795,834,1259,"NAN","NAN"
"Al18.18Co18.18Cr18.18Fe18.18Ni18.18Ti9.09","CMA",792,825,1249,"NAN","NAN"
"Al20Cr20Fe20Mn20Ni20","CMA",796,839,1264,"NAN","NAN"
"Al16.7Cr16.7Cu16.7Fe16.7Ni33.3","CMA",804,846,1263,"NAN","NAN"
"Al16.67Cr16.67Cu16.67Fe16.67Ni16.67Ti16.67","CMA",777,830,1282,"NAN","NAN"
"Al16.67Cr16.67Cu16.67Fe16.67Ni33.33","CMA",804,846,1263,"NAN","NAN"
"Al19.2Co19.2Cr19.2Fe19.2Ni19.2V3.8","CMA",795,832,1256,"NAN","NAN"
"Al20Co10Cr10Fe10Mn20Ni20V10","CMA",775,818,1267,"NAN","NAN"
"Al18.2Co18.2Cr18.2Cu18.2Fe18.2Ni9.1","CMA",795,829,1250,"NAN","NAN"
"Al20Co20Cr20Fe20Ni20","CMA",794,832,1258,"NAN","NAN"
"Al19.23Cr19.23Cu19.23Fe19.23Ni23.08","CMA",789,823,1251,"NAN","NAN"
"Al19.2Cr19.2Cu19.2Fe19.2Ni23.1","CMA",789,823,1251,"NAN","NAN"
"Al20Co20Cr20Cu10Fe10Ni20","CMA",792,826,1250,"NAN","NAN"
"Al20Co20Cr20Fe20Ni20","CMA",794,832,1258,"NAN","NAN"
